id,Type,Info,Name,TypeofHousing,Address,LengthofStay,Phone
24 ,Permanent Supportive Housing,Permanent housing for homeless individuals with chronic mental illness or substance abuse issues,HopeWorks,For individuals and families,1201 3rd NW,na,Main 505-242-4399 | Behavioral Health 505-764-8231 | Shelter 505-843-9405
25 ,Employment Services,Employment services and job placement for homeless persons,HopeWorks,na,1120 2nd NW Albuquerque NM 87102 (administration),na,Main 505-242-4399 | Behavioral Health 505-764-8231 | Shelter 505-843-9405
26 ,Emergency Homeless Shelters,Short-term immediate assistance for people experiencing homelessness,New Day Youth and Family Services,For youth aged 11 to 17,2820 Ridgecrest SE,na,505-938-1060
27 ,Permanent Supportive Housing,Permanent housing for homeless individuals with chronic mental illness or substance abuse issues,New Day Youth and Family Services,For youth aged 17 to 24,2820 Ridgecrest SE,na,505-938-1060
28 ,Permanent Supportive Housing,Permanent housing for homeless individuals with chronic mental illness or substance abuse issues,New Day Youth and Family Services,For youth aged 17 to 24,2820 Ridgecrest Dr. SE,na,505-938-1060
29 ,Emergency Homeless Shelters,Short-term immediate assistance for people experiencing homelessness,SAFE House,For victims of domestic violence,P.O. Box 25363,Length of Stay: 90 days,505-247-4219 Fax: 505-224-9695
30 ,Permanent Supportive Housing,Permanent housing for homeless individuals with chronic mental illness or substance abuse issues,SAFE House – RISE,For victims of Domestic Violence with Children,na,na,505-366-2400
31 ,Permanent Supportive Housing,Permanent housing for homeless individuals with chronic mental illness or substance abuse issues,Serenity Mesa,For youth aged 14 to 21 who struggle with addiction ,3701 Condershire SW,na,505-877-3644
32 ,Permanent Supportive Housing,Permanent housing for homeless individuals with chronic mental illness or substance abuse issues,Supportive Housing Coalition of NM,For individuals and families,625 Silver SW,na,505-255-3643 Fax: 888-370-3898
33 ,Permanent Supportive Housing,Permanent housing for homeless individuals with chronic mental illness or substance abuse issues,Tenderlove,For individuals and families,1518 Girard NE ,na,505-349-1795
34 ,Employment Services,Employment services and job placement for homeless persons,Tenderlove,na,1518 Girard NE ,na,505-349-1795
35 ,Permanent Supportive Housing,Permanent housing for homeless individuals with chronic mental illness or substance abuse issues,Therapeutic Living Services,For individuals and families,5601 Domingo NE,na,505-268-5295 Fax: 505-268-9967
36 ,Permanent Supportive Housing,Permanent housing for homeless individuals with chronic mental illness or substance abuse issues,Vizionz Sankofa,For individuals and families,1258 Ortiz SE,na,505-832-7141
37 ,Permanent Supportive Housing,Permanent housing for homeless individuals with chronic mental illness or substance abuse issues,Youth Development Inc (YDI),For youth aged 16 to 24,3411 Candelaria NE,na,505-352-3444
